turn,decision_latency_ms,memory_recall_f1
1,24.591958994278684,0.0
2,2.695167000638321,0.0
3,2.7964169858023524,0.0
4,2.482540992787108,0.0
5,2.240291010821238,0.0
6,2.418624993879348,0.0
7,2.1221670031081885,0.0
8,2.0928329904563725,0.0
9,2.0849580178037286,0.0
10,2.1962080209050328,1.0
11,2.446625003358349,1.0
12,2.182958007324487,1.0
13,2.1192500134930015,1.0
14,2.246415999252349,1.0
15,2.265916991746053,1.0
16,2.170958003262058,1.0
17,2.1697919873986393,1.0
18,2.2480000043287873,1.0
19,2.196667017415166,1.0
20,2.1909170027356595,1.0
21,2.25854100426659,1.0
22,2.225791977252811,1.0
23,2.1885829919483513,1.0
24,2.2369580110535026,1.0
25,2.229749981779605,1.0
26,2.2182909888215363,1.0
27,2.3543330025859177,1.0
28,2.2811670205555856,1.0
29,2.2717079846188426,1.0
30,2.3503329721279442,1.0
31,2.3990409972611815,1.0
32,2.290625008754432,1.0
33,2.4916249967645854,1.0
34,2.6450000004842877,1.0
35,2.422249992378056,1.0
36,2.4102920142468065,1.0
37,2.392334019532427,1.0
38,2.462375006871298,1.0
39,2.445999998599291,1.0
40,2.482375013642013,1.0
41,2.464332996169105,1.0
42,2.478959009749815,1.0
43,2.5049579853657633,1.0
44,2.566750015830621,1.0
45,2.901124971685931,1.0
46,2.6107910089194775,1.0
47,2.6097499940078706,1.0
48,5.36870799260214,1.0
49,5.318874988006428,1.0
50,4.608583985827863,1.0
51,4.926749999867752,1.0
52,4.682166007114574,1.0
53,4.791625018697232,1.0
54,5.139874992892146,1.0
55,4.625792003935203,1.0
56,4.800832975888625,1.0
57,4.990457993699238,1.0
58,4.868832998909056,1.0
59,4.921291983919218,1.0
60,5.115833017043769,1.0
61,4.846708005061373,1.0
62,4.94233297649771,1.0
63,6.42162500298582,1.0
64,7.029708009213209,1.0
65,5.359958013286814,1.0
66,5.176792008569464,1.0
67,5.091958009870723,1.0
68,5.563874990912154,1.0
69,5.255124997347593,1.0
70,5.333917011739686,1.0
71,5.968332989141345,1.0
72,5.708375014364719,1.0
73,5.3848749957978725,1.0
74,5.607667000731453,1.0
75,5.579207994742319,1.0
76,5.754665995482355,1.0
77,6.088458001613617,1.0
78,5.601708980975673,1.0
79,5.930750019615516,1.0
80,7.819541991921142,1.0
81,7.069500017678365,1.0
82,7.090249971952289,1.0
83,7.766249997075647,1.0
84,6.202791002579033,1.0
85,6.363332999171689,1.0
86,7.303249993128702,1.0
87,5.961707996902987,1.0
88,6.742332974681631,1.0
89,6.153041002107784,1.0
90,7.095167005900294,1.0
91,6.364290980855003,1.0
92,6.956416007596999,1.0
93,6.317082996247336,1.0
94,6.424333987524733,1.0
95,7.221874984679744,1.0
96,6.309749995125458,1.0
97,7.003832986811176,1.0
98,6.559207977261394,1.0
99,7.313374982913956,1.0
100,6.6908340086229146,1.0
