turn,decision_latency_ms,coherence
1,24.78891599457711,0.95
2,2.4394590000156313,0.965
3,2.3210830113384873,0.9500000000000001
4,2.0084159914404154,0.9499999999999998
5,2.0090420148335397,0.9559999999999995
6,1.9638329977169633,0.9499999999999993
7,1.992207980947569,0.9500000000000018
8,2.0979170221835375,0.9537499999999994
9,2.0075829816050828,0.9499999999999886
10,1.9837919971905649,0.949999999999983
11,1.9902919884771109,0.9527272727272537
12,1.9662919803522527,0.9499999999999981
13,1.9879589963238686,0.9499999999999755
14,1.9620420061983168,0.9521428571428601
15,2.0027919963467866,0.9499999999999924
16,1.99837502441369,0.9499999999999922
17,2.191042003687471,0.9517647058823199
18,2.0459580118767917,0.9500000000000139
19,2.0271250104997307,0.9499999999999676
20,2.0369999983813614,0.9514999999999987
21,2.0533330098260194,0.9500000000000076
22,2.220875001512468,0.9500000000000868
23,2.0988330070395023,0.9513043478261906
24,2.0650829828809947,0.9500000000000929
25,2.1936249977443367,0.9500000000000273
26,2.044166991254315,0.9511538461539081
27,2.0449580042622983,0.9500000000000624
28,2.049625007202849,0.9500000000001754
29,2.0605410099960864,0.9510344827588926
30,2.059999998891726,0.950000000000197
31,2.0885419799014926,0.9500000000001848
32,2.0747079979628325,0.9509375000003217
33,2.223749994300306,0.9500000000002591
34,2.0803750085178763,0.950000000000206
35,2.1092499955557287,0.9508571428573954
36,2.205541997682303,0.9500000000002982
37,2.4042919976636767,0.9500000000002237
38,2.337415993679315,0.950789473684357
39,2.2271249908953905,0.9500000000002612
40,2.3221249866764992,0.9500000000000455
41,2.408542000921443,0.95073170731724
42,2.239458990516141,0.9500000000000564
43,2.2391249949578196,0.9500000000001777
44,2.2493750147987157,0.9506818181820232
45,2.2235839860513806,0.9500000000003032
46,2.2134589962661266,0.9500000000004508
47,2.361833001486957,0.9506382978726756
48,2.2651250183116645,0.9500000000004434
49,2.2291250061243773,0.9500000000003935
50,2.252957987366244,0.9506000000002132
51,2.2394999978132546,0.9499999999999786
52,2.28137502563186,0.949999999999958
53,2.279165986692533,0.950566037735937
54,2.288499992573634,0.9500000000001886
55,2.50695800059475,0.95
56,2.372332994127646,0.9505357142855116
57,2.357124991249293,0.9499999999999936
58,2.3695419949945062,0.9500000000001317
59,2.4156669969670475,0.9505084745767632
60,2.3892080062069,0.9500000000007882
61,2.4779590021353215,0.9500000000006381
62,2.510249993065372,0.9504838709684508
63,2.3950000177137554,0.9500000000006987
64,2.41650000680238,0.9500000000008129
65,2.4597920128144324,0.9504615384622481
66,2.4577500007580966,0.9500000000006174
67,2.455917012412101,0.9500000000004019
68,2.6437920168973505,0.9504411764710847
69,2.5342500011902303,0.9500000000007803
70,2.533207996748388,0.9500000000005717
71,2.5550840073265135,0.9504225352118251
72,2.5842080067377537,0.9500000000002223
73,2.5843330076895654,0.9500000000002292
74,2.5880000030156225,0.9504054054050357
75,2.73349997587502,0.9500000000003396
76,2.656625001691282,0.9500000000004404
77,2.691500005312264,0.9503896103898032
78,2.6906249986495823,0.9499999999997015
79,2.701082994462922,0.9499999999995763
80,2.729082974838093,0.950374999999849
81,3.1153330055531114,0.9499999999997845
82,2.743208024185151,0.9499999999988199
83,2.7644170040730387,0.9503614457818299
84,3.08829199639149,0.9499999999989086
85,3.135416016448289,0.9499999999990584
86,2.852499979780987,0.9503488372087896
87,2.8756249812431633,0.9499999999998077
88,2.8124589880462736,0.9500000000000248
89,2.8382080199662596,0.9503370786515415
90,2.8729590121656656,0.950000000000283
91,2.8807919879909605,0.9499999999995682
92,3.036042005987838,0.9503260869563668
93,2.905750006902963,0.9499999999998279
94,2.908833004767075,0.9499999999997988
95,2.9300840105861425,0.9503157894737485
96,2.956499985884875,0.9500000000001213
97,2.965041989227757,0.95000000000024
98,3.162707987939939,0.9503061224495468
99,3.080417023738846,0.9500000000006908
100,3.062959003727883,0.9499999999996362
101,3.1430000090040267,0.9502970297017053
102,3.125041024759412,0.949999999997589
